,date,variable,value
909,2011-02-25,removed_ticker,AYE
693,2011-02-25,added_ticker,JOY
908,2011-02-28,removed_ticker,MFE
692,2011-02-28,added_ticker,COV
691,2011-03-31,added_ticker,EW
907,2011-03-31,removed_ticker,Q
690,2011-04-01,added_ticker,BLK
906,2011-04-01,removed_ticker,GENZ
172,2011-04-01,added_ticker,EW
74,2011-04-04,added_ticker,BLK
905,2011-04-27,removed_ticker,NOVL
689,2011-04-27,added_ticker,CMG
108,2011-04-28,added_ticker,CMG
904,2011-06-01,removed_ticker,MEE
688,2011-06-01,added_ticker,ANR
903,2011-06-30,removed_ticker,RSH
687,2011-06-30,added_ticker,MPC
307,2011-07-01,added_ticker,MPC
902,2011-07-05,removed_ticker,MI
686,2011-07-05,added_ticker,ACN
4,2011-07-06,added_ticker,ACN
901,2011-09-23,removed_ticker,NSM
685,2011-09-23,added_ticker,MOS
333,2011-09-26,added_ticker,MOS
684,2011-10-14,added_ticker,TEL
900,2011-10-14,removed_ticker,CEPH
439,2011-10-17,added_ticker,TEL
683,2011-10-31,added_ticker,XYL
899,2011-10-31,removed_ticker,ITT
500,2011-11-01,added_ticker,XYL
682,2011-11-18,added_ticker,CBE
898,2011-11-18,removed_ticker,JNS
897,2011-12-12,removed_ticker,GAS
681,2011-12-12,added_ticker,GAS
679,2011-12-16,added_ticker,PRGO
894,2011-12-16,removed_ticker,AKS
895,2011-12-16,removed_ticker,MWW
896,2011-12-16,removed_ticker,WFR
678,2011-12-16,added_ticker,BWA
680,2011-12-16,added_ticker,DLTR
157,2011-12-19,added_ticker,DLTR
78,2011-12-19,added_ticker,BWA
373,2011-12-19,added_ticker,PRGO
893,2011-12-20,removed_ticker,TLAB
677,2011-12-20,added_ticker,TRIP
452,2011-12-21,added_ticker,TRIP
892,2011-12-31,removed_ticker,CPWR
676,2011-12-31,added_ticker,WPX
675,2012-03-13,added_ticker,CCI
891,2012-03-13,removed_ticker,CEG
138,2012-03-14,added_ticker,CCI
674,2012-04-03,added_ticker,FOSL
890,2012-04-03,removed_ticker,MHS
673,2012-04-23,added_ticker,PSX
889,2012-04-23,removed_ticker,SVU
376,2012-05-01,added_ticker,PSX
888,2012-05-17,removed_ticker,EP
672,2012-05-17,added_ticker,KMI
887,2012-05-21,removed_ticker,MMI
671,2012-05-21,added_ticker,ALXN
282,2012-05-25,added_ticker,KMI
18,2012-05-25,added_ticker,ALXN
886,2012-06-05,removed_ticker,NVLS
670,2012-06-05,added_ticker,LRCX
330,2012-06-28,added_ticker,MNST
669,2012-06-29,added_ticker,MNST
290,2012-06-29,added_ticker,LRCX
885,2012-06-29,removed_ticker,SLE
884,2012-07-02,removed_ticker,PGN
668,2012-07-02,added_ticker,STX
883,2012-07-31,removed_ticker,GR
