,Date,Binance Coin,Bitcoin,Bitcoin Cash,Bitcoin SV,Cardano,ChainLink,Cosmos,Dash,Dogecoin,Ethereum,Ethereum Classic,IOTA,Litecoin,Maker,Monero,NEM,NEO,Ontology,Ripple,Stellar,StrongHands,Tether,Tezos,TRON,USD Coin
315,2015-12-29,,6412661983.0,,,,,,20139602.333332997,15180181.333332999,68022552.333333,,,152209857.33333,,4737692.3333333,1376883.0,,,209570990.66667,8497365.0,3350.5,,,,
316,2016-01-01,,6594377720.9,,,,,,20287828.8,15503968.0,72921529.3,,,153979264.6,,5398514.2,1836785.7,,,201169671.7,8384895.0,2643.0,,,,
317,2016-01-11,,6165809375.7273,,,,,,23253225.909091,16750044.0,96580283.272727,,,143753446.63636002,,5267441.909090901,3063486.2727273,,,183558457.81818,8473650.3636364,,,,,
318,2016-01-22,,5844794923.2727,,,,,,26651558.363636,26912693.636364,172515847.45455,,,138142032.72727,,5978126.1818182,3889605.2727272995,,,194580501.45455,8640143.3636364,,,,,
319,2016-02-02,,5733507634.9091,,,,,,25502129.272726998,29767123.0,253434104.90908998,,,137371501.18182,,5456989.1818182,5346446.7272727005,,,256754616.45455,9017549.5454545,,,,,
320,2016-02-13,,6340761474.1818,,,,,,23529148.454545002,29995328.272727,375559156.81817997,,,146722674.36363998,,8847751.727272699,5299935.5454545,,,281229513.36364,10506197.545455,,,,,
321,2016-02-24,,6507598815.6364,,,,,,25536705.909091,26283989.818182,553497657.18182,,,150904878.09091002,,9861908.3636364,5772723.5454545,,,273233227.63636,9344612.0,,,,,
322,2016-03-06,,6329724172.6364,,,,,,31871103.0,23940663.545454998,918610076.7272699,,,147068832.90908998,,12867425.0,12037694.727273,,,281162032.72727,11548790.363636,,,,,
323,2016-03-17,,6384144126.6364,,,,,,40351358.0,22335914.909091,877088438.90909,,,145558760.36363998,,16112394.818182,11468536.363636,,,279412797.27273,11411176.090909,,,,,
324,2016-03-28,,6481327566.9091,,,,,,44451916.363636,23170188.181818,893398583.6363599,,,147135436.36363998,,17230039.272726998,13148190.0,,,258285502.27273,11620349.818182,,,,,
325,2016-04-08,,6557428565.8182,,,,,,41177851.818182,22971800.272726998,693966285.81818,,,147386817.45455,,12681082.181818,12946442.727273,,,217718516.18182,10667203.272727,,,,,
326,2016-04-19,,6926536316.0,,,,,,40317672.909090996,23402108.818182,637325346.45455,,,160287068.72727,,11620088.363636,14188287.272727,,,248671439.81818,10405890.272727,,,,,
327,2016-04-30,,7019124495.0,,,,,,43183788.727272995,23384885.454545002,736929764.72727,,,173938350.45455,,10578120.454545,14000760.0,,,227480634.0,10127716.545455,,,,,
328,2016-05-11,,7033241677.6364,,,,,,46809432.272727005,23907164.363636,919672433.1818199,,,180677045.81818,,10183402.0,13788024.545455,,,212320334.18182,9535138.3636364,,,,,
